,Unnamed: 0,unique_number,name_en,date_inscribed,longitude,latitude,category,category_short,states_name_en,region_en,gdp,count,countbycategory,countbystate,countbyregion,countbyregiondate,countbystatedate,countbycatdate
406,40,1955,Baroque Churches of the Philippines,1993,120.97,14.59,Cultural,C,Philippines,Asia and the Pacific,3925.0,2140000.0,869,6,266,81,2,305
407,41,783,Yakushima,1993,130.53333329999998,30.33333333,Natural,N,Japan,Asia and the Pacific,29967.0,2123000.0,213,22,266,81,4,86
408,40,642,Maulbronn Monastery Complex,1993,8.81306,49.00083,Cultural,C,Germany,Europe and North America,27199.0,117000.0,869,39,528,191,13,305
409,40,742,Town of Bamberg,1993,10.88888889,49.89166667,Cultural,C,Germany,Europe and North America,27199.0,117000.0,869,39,528,191,13,305
410,42,816,Pilgrimage Church of St John of Nepomuk at Zelená Hora,1994,15.94205833,49.5802,Cultural,C,Czechia,Europe and North America,21004.0,2223000.0,869,13,528,206,4,326
411,42,813,Völklingen Ironworks,1994,6.85,49.24444,Cultural,C,Germany,Europe and North America,28297.0,117000.0,869,39,528,206,15,326
412,42,814,"Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)",1994,135.76944440000003,34.98055556,Cultural,C,Japan,Asia and the Pacific,30728.0,2123000.0,869,22,266,88,5,326
413,43,841,Los Katíos National Park,1994,-77.0,7.666666667,Natural,N,Colombia,Latin America and the Caribbean,7401.0,59270000.0,213,8,142,57,2,93
414,43,810,Doñana National Park,1994,-6.358861,36.9477,Natural,N,Spain,Europe and North America,19045.0,9091000.0,213,44,528,206,21,93
415,43,796,Ha Long Bay,1994,107.1,20.9,Natural,N,Viet Nam,Asia and the Pacific,3557.0,90500.0,213,8,266,88,2,93
416,43,826,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),1994,138.7166667,-19.08333333,Natural,N,Australia,Asia and the Pacific,29582.0,45000.0,213,20,266,88,11,93
417,42,729,City of Safranbolu,1994,32.68972,41.26,Cultural,C,Turkey,Europe and North America,9919.0,4263000.0,869,18,528,206,8,326
418,43,806,Bwindi Impenetrable National Park,1994,29.66138889,-1.080555556,Natural,N,Uganda,Africa,1008.0,8200.0,213,3,96,42,2,93
419,43,808,Rwenzori Mountains National Park,1994,29.92416667,0.223611111,Natural,N,Uganda,Africa,1008.0,8200.0,213,3,96,42,2,93
420,42,691,Petäjävesi Old Church,1994,25.18333,62.25,Cultural,C,Finland,Europe and North America,22629.0,659000.0,869,5,528,206,3,326
421,42,657,Rock Carvings in Tanum,1994,11.34111,58.70111,Cultural,C,Sweden,Europe and North America,26508.0,60000.0,869,13,528,206,5,326
422,42,659,Skogskyrkogården,1994,18.09944,59.27556,Cultural,C,Sweden,Europe and North America,26508.0,60000.0,869,13,528,206,5,326
423,42,831,"Mountain Resort and its Outlying Temples, Chengde",1994,117.93833,40.98694,Cultural,C,China,Asia and the Pacific,3135.0,2253000.0,869,54,266,88,14,326
424,42,1929,Vilnius Historic Centre,1994,25.29306,54.68666999999999,Cultural,C,Lithuania,Europe and North America,7253.0,631000.0,869,2,528,206,1,326
425,42,830,Earliest 16th-Century Monasteries on the Slopes of Popocatepetl,1994,-98.89778,18.93472,Cultural,C,Mexico,Latin America and the Caribbean,10221.0,930000.0,869,35,142,57,14,326
426,42,832,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,1994,116.975,35.61167000000001,Cultural,C,China,Asia and the Pacific,3135.0,2253000.0,869,54,266,88,14,326
427,42,833,Ancient Building Complex in the Wudang Mountains,1994,111.0,32.46667,Cultural,C,China,Asia and the Pacific,3135.0,2253000.0,869,54,266,88,14,326
